rating,review_text,review_len,churn_risk
5,"up 2026. use it since 2020. it is the best. it covers so many tasks regarding personal finances. send money even to iban, watch spends, split bills, receive and control kids debit card, try micro and macro investments, and much more. and it is so easy!",252,0
4,"takes a little bit long with confirmation of non conventional and conventional travel documents, must expand their database to include refugees and stateless people as well.",173,0
5,easy,4,0
5,"very fast, perfect for my needs, works abroad, good assistance in case of need",78,0
4,dev's please add a feature to delete friends and be able to delete them in the payments list,92,0
1,"can't sign up in canada doesn't accept postal code, it thinks i am in the uk. no vpn on my side, so it is faulty app. after reinstall and data delete it continues from address",175,1
5,smooth experience,17,0
5,"great app, hassle free.",23,0
5,mi dinero crece gracias al interés compuesto😁,45,0
5,"excellent, very helpful",23,0
5,"i got this app as a transition bank while i emigrated to the netherlands. it has been really helpful with that, to the extent that, at the moment, i don't see any need to open a local bank account. online assistance is quick (and works). there are nice easy investment options. you can also link kids accounts with the paid versions. an interest bearing savings account option would be good, but in general this does everything i need. update. interest bearing accounts sorted",476,0
5,amazing,7,0
5,"love this app, better improvement.",34,0
5,very convenient 👌,17,0
5,major functions are not working and the app is frequently crashing. since the new updates the app has a lot of bugs.,116,0
5,very handy,10,0
5,very good app,13,0
5,very fast and reliable i love it,32,0
5,"i'm very happy with revolut, ads i'm not too interested in.",59,0
5,"its much easier than other banks in germany, specially for international visitors, you may not believe how much challenging is working with banks in germany without english support",180,0
1,they steal your money.,22,1
5,great app,9,0
1,"it does what it has to, but has annoying features e.g: haptic idiotism; sounds and vibration cannot be turned off, that could be very frustrating. ... became total useless after recent upgrade. now they force you to add lock screen or other security feature even when you have to type several times your revolut passcode when using the app. now you can choose, you use the revolut app or your phone how you prefer. total unintelligible. need to find more reasonable fintech provider.",483,1
5,excellent bank account,22,0
5,best banking service ever,25,0
5,good,4,0
5,perfect for everyday transactions.,34,0
5,great and user friendly application,35,0
5,good 👍👍 experience,18,0
5,it's good,9,0
4,"very good, safe and fast, easy to access my money any time anywhere safely.",75,0
5,best card to hold foreign currency,34,0
5,"very easy to set up and use. simple to transfer money in and out. any purchases are almost immediately notified to my phone. lost cards are easy to notify and cancel, and arrange for replacements. great to use abroad and much cheaper than ordering foreign currency. my current savings rate admittedly a special deal is really good, and the interest can be seen being added daily.",379,0
4,brilliant app,13,0
5,very good,9,0
5,excellent international banking transactions recommended for the public.,72,0
5,i just live it.,15,0
5,works 👍,7,0
5,so far so gooooooooooood,24,0
5,top app. cannot say something negative...,41,0
5,"it's quite easy to use, love it 🌹🌹🌹",35,0
5,"great simple to use service, perfect for everyday use and while travelling.",75,0
5,awesome,7,0
5,"very good banking app. simple and easy to use, very secure",58,0
5,good,4,0
5,very easy to use.,17,0
5,good,4,0
5,excellent,9,0
5,great app !,11,0
4,great:)),8,0
5,wonderful,9,0
5,"just brilliant. and week by week, it keeps getting brillianter... ;)",68,0
5,"absolutely amazing awesome quality bank. they are so amazing. can answer any questions. plus you can do absolutely anything, stocks and shares, gold, crypto, you name it this bank can do it. absolutely 💯 % amazing 👏",215,0
5,revolut has given the other banks a wake up call. the app just works ... and brilliantly.,89,0
5,super,5,0
4,by far the best banking app out there so quick and easy to use dropped one star because it can be hard to contact them if you have any issues,141,0
5,very good,9,0
5,amazing banking experience!,27,0
5,great app,9,0
5,it's just awesome and perfect,29,0
5,using it everyday!! one single use cards are the best for random online shopping!,81,0
5,geat,4,0
5,great,5,0
4,"i have installed this trainwreck of an application because peer pressure. for the first couple of years i hated it, but it got a lot better over time. since a while i haven't seen any major ui option reschuffling, which is a huge plus.",235,0
5,very useful 👌,13,0
5,this brilliant app is all you need when travelling. the exchange rate is better than the big banks and cards.,109,0
5,"edit 5 years later: just love this app! everything works great. it works generally very well. when i started, it had some glitches when a card wouldn't work or i'd be charged twice for a transaction but this for fixed quickly. i gave 4* only because they keep raising and raising their fees...",293,0
5,"it's the best banking app i've ever had, works perfectly, nothing but a great experience. everything is easy and super useful.",126,0
5,whilst travelling revolut is the best way to transfer money between friends. additionally their data only esim is reasonably priced and has been working great for me in portugal.,178,0
5,fantastic app and fantastic banking. use this more than normal bank account. great for holidays no need for organising euro or international money before you go.,161,0
5,very good banking app,21,0
3,good app but frustrating that i can't see my revolut credit card and personal account spending in a combined analytics view. i have to look at each individually which is annoying for budgeting. i may end up cancelling the credit card so all spending is back in the one place.,275,0
5,brilliant app. whether you're travelling or just using it locally it is so easy to use.,87,0
5,lovely,6,0
1,"sa nu va puna nimeni sa incercati trade prin revolut, este extrem de prost optimizat. nu ma ajuta cu nimic revolut, am banii blocati pe un order pentru un stock care este acum sale only si ei mi-au zis ca o sa dureze minim 2 zile...nu ai cum sa faci asta, deci te folosesti de banii cuiva si ii tii blocati pana cand iti termini treaba cu ei si dupa le zici ca nu s-a putut face nimic. daca se intampla la 100000 de oameni asta intr-o luna, uite milionul de euro minim cum se invarte. revolut",492,1
5,"just blocked gme buys, screw you revolut",40,0
5,ok,2,0
5,fiddly to setup but easy to use after that. still easier than going to a bank to open an account tho,100,0
5,"recién comienza mi experiencia pero, hasta el momento es todo muy claro e intuitivo.",84,0
5,"easy, convebient :)",19,0
5,user friendly application,25,0
5,good,4,0
5,quik and simple,15,0
5,good,4,0
